timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-29 13:52:15.264685,k3s-master,"",metrics-server-c6799cf48-n4vnv,kube-system,6,0,0,""
2023-03-29 13:52:15.268685,ea-k3s-node-eu-west-1-2,"",delay-discovery-hnk7c,default,0,0,0,""
2023-03-29 13:52:15.270702,ea-k3s-node-eu-west-1-2,compression,compression-yd55r1wo,openfaas-fn,1,300,300,community-2
2023-03-29 13:52:15.272538,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-46v59c62,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:15.274364,k3s-master,"",local-path-provisioner-79c4646df5-hqgg6,kube-system,1,0,0,""
2023-03-29 13:52:15.276147,k3s-master,"",svclb-traefik-wdkpz,kube-system,0,0,0,""
2023-03-29 13:52:15.278238,ea-k3s-node-eu-west-1-1,"",delay-discovery-7p4vf,default,0,0,0,""
2023-03-29 13:52:15.280058,k3s-master,"",podscale-controller-57f68c67fc-dzbrl,kube-system,5,100,200,""
2023-03-29 13:52:15.28194,k3s-master,"",allocation-algorithm-679c5fcc65-np9km,default,1,500,1000,""
2023-03-29 13:52:15.465411,k3s-master,"",custom-metrics-apiserver-8586695c47-kqd5s,custom-metrics,5,200,200,""
2023-03-29 13:52:15.665697,ea-k3s-node-eu-west-1-3,"",delay-discovery-6w4bt,default,0,0,0,""
2023-03-29 13:52:15.8652,ea-k3s-node-eu-west-1-2,"",svclb-traefik-sqm2j,kube-system,0,0,0,""
2023-03-29 13:52:16.065587,k3s-master,"",coredns-5b5bf59798-6mgmr,kube-system,3,0,0,""
2023-03-29 13:52:16.26601,ea-k3s-node-eu-west-1-1,"",dispatcher-grjnw,default,1,0,0,""
2023-03-29 13:52:16.465817,ea-k3s-node-eu-west-1-3,"",dispatcher-584cf,default,1,0,0,""
2023-03-29 13:52:16.665389,ea-k3s-node-eu-west-1-2,"",dispatcher-fxwf2,default,1,0,0,""
2023-03-29 13:52:16.865405,k3s-master,"",dispatcher-2jtrq,default,1,0,0,""
2023-03-29 13:52:17.065757,k3s-master,"",workload-5cb5f8bd4d-sdc9z,default,13,0,0,""
2023-03-29 13:52:17.264879,k3s-master,"",pod-autoscaler-76b6884b54-g8kdb,kube-system,2,500,500,""
2023-03-29 13:52:17.465195,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-bz6dv,kube-system,1,100,200,""
2023-03-29 13:52:17.665884,k3s-master,"",delay-discovery-7dknd,default,1,0,0,""
2023-03-29 13:52:17.865459,k3s-master,"",cpu-monitoring-7bbd5b549b-d69xd,kube-system,18,0,0,""
2023-03-29 13:52:18.065129,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-s0miwn2d,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:18.26554,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fvzsd,kube-system,0,0,0,""
2023-03-29 13:52:18.464852,k3s-master,"",traefik-7f48667fb9-kmqrn,kube-system,4,0,0,""
2023-03-29 13:52:18.665797,k3s-master,"",flannel-fixer-deployment-5c468f87f8-fkpm2,kube-system,1,0,0,""
2023-03-29 13:52:18.864712,k3s-master,"",monitoring-747bdc64bc-dv879,default,0,0,0,""
2023-03-29 13:52:19.065003,k3s-master,"",community-2-676fc9656c-fz8x6,openfaas-fn,1,200,200,""
2023-03-29 13:52:19.265011,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-bls2w,default,1,100,200,""
2023-03-29 13:52:19.465413,ea-k3s-node-eu-west-1-1,"",metrics-database-6c5586d74-pksh2,kube-system,66,0,0,""
2023-03-29 13:52:19.665659,ea-k3s-node-eu-west-1-3,"",svclb-traefik-tbgp4,kube-system,0,0,0,""
2023-03-29 13:52:24.667352,k3s-master,"",custom-metrics-apiserver-8586695c47-kqd5s,custom-metrics,6,200,200,""
2023-03-29 13:52:24.668606,ea-k3s-node-eu-west-1-3,"",delay-discovery-6w4bt,default,0,0,0,""
2023-03-29 13:52:24.669769,ea-k3s-node-eu-west-1-2,"",svclb-traefik-sqm2j,kube-system,0,0,0,""
2023-03-29 13:52:24.670951,k3s-master,"",coredns-5b5bf59798-6mgmr,kube-system,3,0,0,""
2023-03-29 13:52:24.672046,ea-k3s-node-eu-west-1-1,"",dispatcher-grjnw,default,2,0,0,""
2023-03-29 13:52:24.673154,ea-k3s-node-eu-west-1-3,"",dispatcher-584cf,default,1,0,0,""
2023-03-29 13:52:24.67419,ea-k3s-node-eu-west-1-2,"",dispatcher-fxwf2,default,1,0,0,""
2023-03-29 13:52:24.675471,k3s-master,"",dispatcher-2jtrq,default,1,0,0,""
2023-03-29 13:52:24.676711,k3s-master,"",workload-5cb5f8bd4d-sdc9z,default,48,0,0,""
2023-03-29 13:52:24.678288,k3s-master,"",pod-autoscaler-76b6884b54-g8kdb,kube-system,1,500,500,""
2023-03-29 13:52:24.868065,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-bz6dv,kube-system,1,100,200,""
2023-03-29 13:52:25.068324,k3s-master,"",delay-discovery-7dknd,default,0,0,0,""
2023-03-29 13:52:25.267556,k3s-master,"",cpu-monitoring-7bbd5b549b-d69xd,kube-system,12,0,0,""
2023-03-29 13:52:25.467987,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-s0miwn2d,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:25.66833,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fvzsd,kube-system,0,0,0,""
2023-03-29 13:52:25.867985,k3s-master,"",traefik-7f48667fb9-kmqrn,kube-system,3,0,0,""
2023-03-29 13:52:26.068163,k3s-master,"",flannel-fixer-deployment-5c468f87f8-fkpm2,kube-system,1,0,0,""
2023-03-29 13:52:26.268278,k3s-master,"",monitoring-747bdc64bc-dv879,default,0,0,0,""
2023-03-29 13:52:26.468248,k3s-master,"",community-2-676fc9656c-fz8x6,openfaas-fn,1,200,200,""
2023-03-29 13:52:26.667894,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-bls2w,default,1,100,200,""
2023-03-29 13:52:26.867713,ea-k3s-node-eu-west-1-1,"",metrics-database-6c5586d74-pksh2,kube-system,66,0,0,""
2023-03-29 13:52:27.068088,ea-k3s-node-eu-west-1-3,"",svclb-traefik-tbgp4,kube-system,0,0,0,""
2023-03-29 13:52:27.269498,k3s-master,"",metrics-server-c6799cf48-n4vnv,kube-system,5,0,0,""
2023-03-29 13:52:27.668628,ea-k3s-node-eu-west-1-2,"",delay-discovery-hnk7c,default,1,0,0,""
2023-03-29 13:52:27.868858,ea-k3s-node-eu-west-1-2,compression,compression-yd55r1wo,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:28.068874,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-46v59c62,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:28.269477,k3s-master,"",local-path-provisioner-79c4646df5-hqgg6,kube-system,2,0,0,""
2023-03-29 13:52:28.468803,k3s-master,"",svclb-traefik-wdkpz,kube-system,0,0,0,""
2023-03-29 13:52:28.669173,ea-k3s-node-eu-west-1-1,"",delay-discovery-7p4vf,default,0,0,0,""
2023-03-29 13:52:28.869324,k3s-master,"",podscale-controller-57f68c67fc-dzbrl,kube-system,2,100,200,""
2023-03-29 13:52:29.068572,k3s-master,"",allocation-algorithm-679c5fcc65-np9km,default,1,500,1000,""
2023-03-29 13:54:00.108596,k3s-master,"",podscale-controller-57f68c67fc-dzbrl,kube-system,2,100,200,""
2023-03-29 13:52:34.071693,k3s-master,"",metrics-server-c6799cf48-n4vnv,kube-system,5,0,0,""
2023-03-29 13:52:34.074082,ea-k3s-node-eu-west-1-2,"",delay-discovery-hnk7c,default,1,0,0,""
2023-03-29 13:52:34.075197,ea-k3s-node-eu-west-1-2,compression,compression-yd55r1wo,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:34.07653,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-46v59c62,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:34.07765,k3s-master,"",local-path-provisioner-79c4646df5-hqgg6,kube-system,2,0,0,""
2023-03-29 13:52:34.078773,k3s-master,"",svclb-traefik-wdkpz,kube-system,0,0,0,""
2023-03-29 13:52:34.079902,ea-k3s-node-eu-west-1-1,"",delay-discovery-7p4vf,default,0,0,0,""
2023-03-29 13:52:34.08192,k3s-master,"",podscale-controller-57f68c67fc-dzbrl,kube-system,2,100,200,""
2023-03-29 13:52:34.082981,k3s-master,"",allocation-algorithm-679c5fcc65-np9km,default,1,500,1000,""
2023-03-29 13:52:34.273126,k3s-master,"",custom-metrics-apiserver-8586695c47-kqd5s,custom-metrics,6,200,200,""
2023-03-29 13:52:34.473864,ea-k3s-node-eu-west-1-3,"",delay-discovery-6w4bt,default,0,0,0,""
2023-03-29 13:52:34.673868,ea-k3s-node-eu-west-1-2,"",svclb-traefik-sqm2j,kube-system,0,0,0,""
2023-03-29 13:52:34.872828,k3s-master,"",coredns-5b5bf59798-6mgmr,kube-system,3,0,0,""
2023-03-29 13:52:35.072846,ea-k3s-node-eu-west-1-1,"",dispatcher-grjnw,default,2,0,0,""
2023-03-29 13:52:35.273199,ea-k3s-node-eu-west-1-3,"",dispatcher-584cf,default,1,0,0,""
2023-03-29 13:52:35.473304,ea-k3s-node-eu-west-1-2,"",dispatcher-fxwf2,default,1,0,0,""
2023-03-29 13:52:35.67322,k3s-master,"",dispatcher-2jtrq,default,1,0,0,""
2023-03-29 13:52:35.873149,k3s-master,"",workload-5cb5f8bd4d-sdc9z,default,48,0,0,""
2023-03-29 13:52:36.073267,k3s-master,"",pod-autoscaler-76b6884b54-g8kdb,kube-system,1,500,500,""
2023-03-29 13:52:36.273191,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-bz6dv,kube-system,1,100,200,""
2023-03-29 13:52:36.47347,k3s-master,"",delay-discovery-7dknd,default,0,0,0,""
2023-03-29 13:52:36.674028,k3s-master,"",cpu-monitoring-7bbd5b549b-d69xd,kube-system,12,0,0,""
2023-03-29 13:52:36.874099,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-s0miwn2d,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:37.073081,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fvzsd,kube-system,0,0,0,""
2023-03-29 13:52:37.273596,k3s-master,"",traefik-7f48667fb9-kmqrn,kube-system,3,0,0,""
2023-03-29 13:52:37.473004,k3s-master,"",flannel-fixer-deployment-5c468f87f8-fkpm2,kube-system,1,0,0,""
2023-03-29 13:52:37.673359,k3s-master,"",monitoring-747bdc64bc-dv879,default,0,0,0,""
2023-03-29 13:52:37.872978,k3s-master,"",community-2-676fc9656c-fz8x6,openfaas-fn,1,200,200,""
2023-03-29 13:52:38.073291,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-bls2w,default,1,100,200,""
2023-03-29 13:52:38.273889,ea-k3s-node-eu-west-1-1,"",metrics-database-6c5586d74-pksh2,kube-system,66,0,0,""
2023-03-29 13:52:38.473399,ea-k3s-node-eu-west-1-3,"",svclb-traefik-tbgp4,kube-system,0,0,0,""
2023-03-29 13:52:43.476022,ea-k3s-node-eu-west-1-3,"",dispatcher-584cf,default,1,0,0,""
2023-03-29 13:52:43.477332,ea-k3s-node-eu-west-1-2,"",dispatcher-fxwf2,default,1,0,0,""
2023-03-29 13:52:43.478448,k3s-master,"",dispatcher-2jtrq,default,1,0,0,""
2023-03-29 13:52:43.479705,k3s-master,"",workload-5cb5f8bd4d-sdc9z,default,48,0,0,""
2023-03-29 13:52:43.480964,ea-k3s-node-eu-west-1-1,"",dispatcher-grjnw,default,2,0,0,""
2023-03-29 13:52:43.48207,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-bz6dv,kube-system,1,100,200,""
2023-03-29 13:52:43.483208,k3s-master,"",delay-discovery-7dknd,default,0,0,0,""
2023-03-29 13:52:43.48435,k3s-master,"",cpu-monitoring-7bbd5b549b-d69xd,kube-system,12,0,0,""
2023-03-29 13:52:43.485477,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-s0miwn2d,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:43.486842,k3s-master,"",pod-autoscaler-76b6884b54-g8kdb,kube-system,1,500,500,""
2023-03-29 13:52:43.676117,k3s-master,"",traefik-7f48667fb9-kmqrn,kube-system,3,0,0,""
2023-03-29 13:52:43.876087,k3s-master,"",flannel-fixer-deployment-5c468f87f8-fkpm2,kube-system,1,0,0,""
2023-03-29 13:52:44.076681,k3s-master,"",monitoring-747bdc64bc-dv879,default,0,0,0,""
2023-03-29 13:52:44.276041,k3s-master,"",community-2-676fc9656c-fz8x6,openfaas-fn,1,200,200,""
2023-03-29 13:52:44.476214,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fvzsd,kube-system,0,0,0,""
2023-03-29 13:52:44.676273,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-bls2w,default,1,100,200,""
2023-03-29 13:52:44.876535,ea-k3s-node-eu-west-1-1,"",metrics-database-6c5586d74-pksh2,kube-system,66,0,0,""
2023-03-29 13:52:45.07599,ea-k3s-node-eu-west-1-3,"",svclb-traefik-tbgp4,kube-system,0,0,0,""
2023-03-29 13:52:45.477054,ea-k3s-node-eu-west-1-2,"",delay-discovery-hnk7c,default,1,0,0,""
2023-03-29 13:52:45.676959,ea-k3s-node-eu-west-1-2,compression,compression-yd55r1wo,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:45.877441,k3s-master,"",metrics-server-c6799cf48-n4vnv,kube-system,5,0,0,""
2023-03-29 13:52:46.077778,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-46v59c62,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:46.278178,k3s-master,"",svclb-traefik-wdkpz,kube-system,0,0,0,""
2023-03-29 13:52:46.478191,ea-k3s-node-eu-west-1-1,"",delay-discovery-7p4vf,default,0,0,0,""
2023-03-29 13:52:46.677489,k3s-master,"",podscale-controller-57f68c67fc-dzbrl,kube-system,2,100,200,""
2023-03-29 13:52:46.878122,k3s-master,"",allocation-algorithm-679c5fcc65-np9km,default,1,500,1000,""
2023-03-29 13:52:47.077741,k3s-master,"",local-path-provisioner-79c4646df5-hqgg6,kube-system,2,0,0,""
2023-03-29 13:52:47.277593,ea-k3s-node-eu-west-1-3,"",delay-discovery-6w4bt,default,0,0,0,""
2023-03-29 13:52:47.477828,ea-k3s-node-eu-west-1-2,"",svclb-traefik-sqm2j,kube-system,0,0,0,""
2023-03-29 13:52:47.678156,k3s-master,"",coredns-5b5bf59798-6mgmr,kube-system,3,0,0,""
2023-03-29 13:52:47.877593,k3s-master,"",custom-metrics-apiserver-8586695c47-kqd5s,custom-metrics,6,200,200,""
2023-03-29 13:54:00.308721,k3s-master,"",allocation-algorithm-679c5fcc65-np9km,default,1,500,1000,""
2023-03-29 13:52:52.881557,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-bls2w,default,1,100,200,""
2023-03-29 13:52:52.883714,ea-k3s-node-eu-west-1-1,"",metrics-database-6c5586d74-pksh2,kube-system,66,0,0,""
2023-03-29 13:52:52.885758,ea-k3s-node-eu-west-1-3,"",svclb-traefik-tbgp4,kube-system,0,0,0,""
2023-03-29 13:52:52.886867,k3s-master,"",metrics-server-c6799cf48-n4vnv,kube-system,5,0,0,""
2023-03-29 13:52:52.88912,ea-k3s-node-eu-west-1-2,"",delay-discovery-hnk7c,default,1,0,0,""
2023-03-29 13:52:52.890185,ea-k3s-node-eu-west-1-2,compression,compression-yd55r1wo,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:52.891653,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-46v59c62,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:52.892844,k3s-master,"",local-path-provisioner-79c4646df5-hqgg6,kube-system,2,0,0,""
2023-03-29 13:52:52.893949,k3s-master,"",svclb-traefik-wdkpz,kube-system,0,0,0,""
2023-03-29 13:52:53.081382,ea-k3s-node-eu-west-1-1,"",delay-discovery-7p4vf,default,0,0,0,""
2023-03-29 13:52:53.280496,k3s-master,"",podscale-controller-57f68c67fc-dzbrl,kube-system,2,100,200,""
2023-03-29 13:52:53.480554,k3s-master,"",allocation-algorithm-679c5fcc65-np9km,default,1,500,1000,""
2023-03-29 13:52:53.681195,k3s-master,"",custom-metrics-apiserver-8586695c47-kqd5s,custom-metrics,6,200,200,""
2023-03-29 13:52:53.880589,ea-k3s-node-eu-west-1-3,"",delay-discovery-6w4bt,default,0,0,0,""
2023-03-29 13:52:54.081077,ea-k3s-node-eu-west-1-2,"",svclb-traefik-sqm2j,kube-system,0,0,0,""
2023-03-29 13:52:54.28082,k3s-master,"",coredns-5b5bf59798-6mgmr,kube-system,3,0,0,""
2023-03-29 13:52:54.482012,ea-k3s-node-eu-west-1-1,"",dispatcher-grjnw,default,2,0,0,""
2023-03-29 13:52:54.682217,ea-k3s-node-eu-west-1-3,"",dispatcher-584cf,default,1,0,0,""
2023-03-29 13:52:54.881693,ea-k3s-node-eu-west-1-2,"",dispatcher-fxwf2,default,1,0,0,""
2023-03-29 13:52:55.081612,k3s-master,"",dispatcher-2jtrq,default,1,0,0,""
2023-03-29 13:52:55.281841,k3s-master,"",workload-5cb5f8bd4d-sdc9z,default,48,0,0,""
2023-03-29 13:52:55.482412,k3s-master,"",pod-autoscaler-76b6884b54-g8kdb,kube-system,1,500,500,""
2023-03-29 13:52:55.682078,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-bz6dv,kube-system,1,100,200,""
2023-03-29 13:52:55.881433,k3s-master,"",delay-discovery-7dknd,default,0,0,0,""
2023-03-29 13:52:56.081818,k3s-master,"",cpu-monitoring-7bbd5b549b-d69xd,kube-system,12,0,0,""
2023-03-29 13:52:56.28216,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-s0miwn2d,openfaas-fn,1,200,200,community-2
2023-03-29 13:52:56.481648,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fvzsd,kube-system,0,0,0,""
2023-03-29 13:52:56.682031,k3s-master,"",traefik-7f48667fb9-kmqrn,kube-system,3,0,0,""
2023-03-29 13:52:56.882379,k3s-master,"",flannel-fixer-deployment-5c468f87f8-fkpm2,kube-system,1,0,0,""
2023-03-29 13:52:57.082082,k3s-master,"",monitoring-747bdc64bc-dv879,default,0,0,0,""
2023-03-29 13:52:57.282645,k3s-master,"",community-2-676fc9656c-fz8x6,openfaas-fn,1,200,200,""
2023-03-29 13:53:02.284338,ea-k3s-node-eu-west-1-1,"",dispatcher-grjnw,default,2,0,0,""
2023-03-29 13:53:02.285556,ea-k3s-node-eu-west-1-3,"",dispatcher-584cf,default,1,0,0,""
2023-03-29 13:53:02.286736,ea-k3s-node-eu-west-1-2,"",dispatcher-fxwf2,default,1,0,0,""
2023-03-29 13:53:02.288415,k3s-master,"",dispatcher-2jtrq,default,1,0,0,""
2023-03-29 13:53:02.289523,k3s-master,"",workload-5cb5f8bd4d-sdc9z,default,48,0,0,""
2023-03-29 13:53:02.290566,k3s-master,"",pod-autoscaler-76b6884b54-g8kdb,kube-system,1,500,500,""
2023-03-29 13:53:02.291639,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-bz6dv,kube-system,1,100,200,""
2023-03-29 13:53:02.292769,k3s-master,"",delay-discovery-7dknd,default,0,0,0,""
2023-03-29 13:53:02.293879,k3s-master,"",cpu-monitoring-7bbd5b549b-d69xd,kube-system,12,0,0,""
2023-03-29 13:53:02.294975,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-s0miwn2d,openfaas-fn,1,200,200,community-2
2023-03-29 13:53:02.485269,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fvzsd,kube-system,0,0,0,""
2023-03-29 13:53:02.685043,k3s-master,"",traefik-7f48667fb9-kmqrn,kube-system,3,0,0,""
2023-03-29 13:53:02.88545,k3s-master,"",flannel-fixer-deployment-5c468f87f8-fkpm2,kube-system,1,0,0,""
2023-03-29 13:53:03.084722,k3s-master,"",monitoring-747bdc64bc-dv879,default,0,0,0,""
2023-03-29 13:53:03.285501,k3s-master,"",community-2-676fc9656c-fz8x6,openfaas-fn,1,200,200,""
2023-03-29 13:53:03.485639,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-bls2w,default,1,100,200,""
2023-03-29 13:53:03.685826,ea-k3s-node-eu-west-1-1,"",metrics-database-6c5586d74-pksh2,kube-system,66,0,0,""
2023-03-29 13:53:03.885817,ea-k3s-node-eu-west-1-3,"",svclb-traefik-tbgp4,kube-system,0,0,0,""
2023-03-29 13:53:04.085138,k3s-master,"",metrics-server-c6799cf48-n4vnv,kube-system,5,0,0,""
2023-03-29 13:53:04.485767,ea-k3s-node-eu-west-1-2,"",delay-discovery-hnk7c,default,1,0,0,""
2023-03-29 13:53:04.685786,ea-k3s-node-eu-west-1-2,compression,compression-yd55r1wo,openfaas-fn,1,200,200,community-2
2023-03-29 13:53:04.885801,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-46v59c62,openfaas-fn,1,200,200,community-2
2023-03-29 13:53:05.085207,k3s-master,"",local-path-provisioner-79c4646df5-hqgg6,kube-system,2,0,0,""
2023-03-29 13:53:05.285898,k3s-master,"",svclb-traefik-wdkpz,kube-system,0,0,0,""
2023-03-29 13:53:05.48588,ea-k3s-node-eu-west-1-1,"",delay-discovery-7p4vf,default,0,0,0,""
2023-03-29 13:53:05.685946,k3s-master,"",podscale-controller-57f68c67fc-dzbrl,kube-system,2,100,200,""
2023-03-29 13:53:05.885429,k3s-master,"",allocation-algorithm-679c5fcc65-np9km,default,1,500,1000,""
2023-03-29 13:53:06.086481,k3s-master,"",custom-metrics-apiserver-8586695c47-kqd5s,custom-metrics,6,200,200,""
2023-03-29 13:53:06.285751,ea-k3s-node-eu-west-1-3,"",delay-discovery-6w4bt,default,0,0,0,""
2023-03-29 13:53:06.485584,ea-k3s-node-eu-west-1-2,"",svclb-traefik-sqm2j,kube-system,0,0,0,""
2023-03-29 13:53:06.685918,k3s-master,"",coredns-5b5bf59798-6mgmr,kube-system,3,0,0,""
2023-03-29 13:53:11.690786,k3s-master,"",metrics-server-c6799cf48-n4vnv,kube-system,5,0,0,""
2023-03-29 13:53:11.693156,ea-k3s-node-eu-west-1-2,"",delay-discovery-hnk7c,default,1,0,0,""
2023-03-29 13:53:11.694897,ea-k3s-node-eu-west-1-2,compression,compression-yd55r1wo,openfaas-fn,1,200,200,community-2
2023-03-29 13:53:11.696791,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-46v59c62,openfaas-fn,1,200,200,community-2
2023-03-29 13:53:11.697925,k3s-master,"",allocation-algorithm-679c5fcc65-np9km,default,1,500,1000,""
2023-03-29 13:53:11.699043,k3s-master,"",local-path-provisioner-79c4646df5-hqgg6,kube-system,2,0,0,""
2023-03-29 13:53:11.700101,k3s-master,"",svclb-traefik-wdkpz,kube-system,0,0,0,""
2023-03-29 13:53:11.701225,ea-k3s-node-eu-west-1-1,"",delay-discovery-7p4vf,default,0,0,0,""
2023-03-29 13:53:11.70229,k3s-master,"",podscale-controller-57f68c67fc-dzbrl,kube-system,2,100,200,""
2023-03-29 13:53:11.890915,k3s-master,"",custom-metrics-apiserver-8586695c47-kqd5s,custom-metrics,6,200,200,""
2023-03-29 13:53:12.091378,ea-k3s-node-eu-west-1-3,"",delay-discovery-6w4bt,default,0,0,0,""
2023-03-29 13:53:12.291438,ea-k3s-node-eu-west-1-2,"",svclb-traefik-sqm2j,kube-system,0,0,0,""
2023-03-29 13:53:12.49154,k3s-master,"",coredns-5b5bf59798-6mgmr,kube-system,3,0,0,""
2023-03-29 13:53:12.692241,k3s-master,"",workload-5cb5f8bd4d-sdc9z,default,48,0,0,""
2023-03-29 13:53:12.892404,ea-k3s-node-eu-west-1-1,"",dispatcher-grjnw,default,2,0,0,""
2023-03-29 13:53:13.092218,ea-k3s-node-eu-west-1-3,"",dispatcher-584cf,default,1,0,0,""
2023-03-29 13:53:13.292474,ea-k3s-node-eu-west-1-2,"",dispatcher-fxwf2,default,1,0,0,""
2023-03-29 13:53:13.491564,k3s-master,"",dispatcher-2jtrq,default,1,0,0,""
2023-03-29 13:53:13.692442,k3s-master,"",pod-autoscaler-76b6884b54-g8kdb,kube-system,1,500,500,""
2023-03-29 13:53:13.892864,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-bz6dv,kube-system,1,100,200,""
2023-03-29 13:53:14.092462,k3s-master,"",delay-discovery-7dknd,default,0,0,0,""
2023-03-29 13:53:14.292162,k3s-master,"",cpu-monitoring-7bbd5b549b-d69xd,kube-system,12,0,0,""
2023-03-29 13:53:14.492376,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-s0miwn2d,openfaas-fn,1,200,200,community-2
2023-03-29 13:53:14.69284,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fvzsd,kube-system,0,0,0,""
2023-03-29 13:53:14.892773,k3s-master,"",traefik-7f48667fb9-kmqrn,kube-system,3,0,0,""
2023-03-29 13:53:15.092184,k3s-master,"",flannel-fixer-deployment-5c468f87f8-fkpm2,kube-system,1,0,0,""
2023-03-29 13:53:15.292653,k3s-master,"",monitoring-747bdc64bc-dv879,default,0,0,0,""
2023-03-29 13:53:15.492007,k3s-master,"",community-2-676fc9656c-fz8x6,openfaas-fn,1,200,200,""
2023-03-29 13:53:15.691872,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-bls2w,default,1,100,200,""
2023-03-29 13:53:15.892709,ea-k3s-node-eu-west-1-1,"",metrics-database-6c5586d74-pksh2,kube-system,66,0,0,""
2023-03-29 13:53:16.09199,ea-k3s-node-eu-west-1-3,"",svclb-traefik-tbgp4,kube-system,0,0,0,""
2023-03-29 13:54:00.508345,k3s-master,"",custom-metrics-apiserver-8586695c47-kqd5s,custom-metrics,4,200,200,""
2023-03-29 13:54:00.708996,ea-k3s-node-eu-west-1-3,"",delay-discovery-6w4bt,default,0,0,0,""
2023-03-29 13:54:00.908675,ea-k3s-node-eu-west-1-2,"",svclb-traefik-sqm2j,kube-system,0,0,0,""
2023-03-29 13:54:01.10839,k3s-master,"",coredns-5b5bf59798-6mgmr,kube-system,4,0,0,""
2023-03-29 13:54:01.309423,ea-k3s-node-eu-west-1-1,"",dispatcher-grjnw,default,1,0,0,""
2023-03-29 13:54:01.50859,ea-k3s-node-eu-west-1-3,"",dispatcher-584cf,default,1,0,0,""
2023-03-29 13:54:01.709078,ea-k3s-node-eu-west-1-2,"",dispatcher-fxwf2,default,2,0,0,""
2023-03-29 13:54:01.908696,k3s-master,"",dispatcher-2jtrq,default,1,0,0,""
2023-03-29 13:54:02.108951,k3s-master,"",workload-5cb5f8bd4d-sdc9z,default,17,0,0,""
2023-03-29 13:54:02.309386,k3s-master,"",pod-autoscaler-76b6884b54-g8kdb,kube-system,2,500,500,""
2023-03-29 13:54:02.509519,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-bz6dv,kube-system,1,100,200,""
2023-03-29 13:54:02.710254,k3s-master,"",delay-discovery-7dknd,default,0,0,0,""
2023-03-29 13:54:02.910075,k3s-master,"",cpu-monitoring-7bbd5b549b-d69xd,kube-system,16,0,0,""
2023-03-29 13:54:03.110006,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-s0miwn2d,openfaas-fn,1,200,200,community-2
2023-03-29 13:54:08.113381,ea-k3s-node-eu-west-1-1,"",dispatcher-grjnw,default,1,0,0,""
2023-03-29 13:54:08.115522,ea-k3s-node-eu-west-1-3,"",dispatcher-584cf,default,1,0,0,""
